Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame
ACTR3B	NA	washu.edu	TCGA-AB-2932-03	MLL3(+)ACTR3B(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
RUNX1T1	NA	washu.edu	TCGA-AB-2937-03	RUNX1(+)RUNX1T1(+) fusion (In-frame)	unknown	unknown	unknown	unknown
FMN2	NA	washu.edu	TCGA-AB-2938-03	NVL(-)FMN2(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
FBN3	NA	washu.edu	TCGA-AB-2938-03	POLR2A(-)FBN3(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
ZBTB7A	NA	washu.edu	TCGA-AB-2938-03	TNK1(-)ZBTB7A(-) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
FAM172A	NA	washu.edu	TCGA-AB-2939-03	CDC73(+)FAM172A(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
MKLN1	NA	washu.edu	TCGA-AB-2939-03	EDIL3(-)MKLN1(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
CHD1	NA	washu.edu	TCGA-AB-2939-03	FRAP1(+)CHD1(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
ABL1	NA	washu.edu	TCGA-AB-2941-03	BCR(+)ABL1(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
CCDC130	NA	washu.edu	TCGA-AB-2941-03	DOCK6(-)CCDC130(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
CBFB	NA	washu.edu	TCGA-AB-2942-03	MYH11(+)CBFB(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
ELMOD3	NA	washu.edu	TCGA-AB-2943-03	RSAD2(-)ELMOD3(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
ELMOD3	NA	washu.edu	TCGA-AB-2943-03	RSAD2(+)ELMOD3(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
EVI1	NA	washu.edu	TCGA-AB-2944-03	RPN1(+)EVI1(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
RUNX1T1	NA	washu.edu	TCGA-AB-2950-03	RUNX1(+)RUNX1T1(+) fusion (In-frame)	unknown	unknown	unknown	unknown
LRRC37B	NA	washu.edu	TCGA-AB-2952-03	NF1(+)LRRC37B(+) fusion (In-frame)	unknown	unknown	unknown	unknown
CBFB	NA	washu.edu	TCGA-AB-2954-03	MYH11(+)CBFB(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
ZFP37	NA	washu.edu	TCGA-AB-2955-03	UBR4(+)ZFP37(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
MLLT3	NA	washu.edu	TCGA-AB-2956-03	MLL(-)MLLT3(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
RDH11	NA	washu.edu	TCGA-AB-2956-03	VTI1B(-)RDH11(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
GRIP2	NA	washu.edu	TCGA-AB-2975-03	BCL11A(-)GRIP2(-) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
SH3D19	NA	washu.edu	TCGA-AB-2979-03	LRBA(+)SH3D19(+) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
RARA	NA	washu.edu	TCGA-AB-2980-03	PML(+)RARA(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
DPP6	NA	washu.edu	TCGA-AB-2982-03	CUL1(+)DPP6(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
RARA	NA	washu.edu	TCGA-AB-2982-03	PML(-)RARA(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
CEP164	NA	washu.edu	TCGA-AB-2985-03	MLLT10(+)CEP164(-) fusion (Out-of-frame)	unknown	unknown	unknown	unknown
MLL	NA	washu.edu	TCGA-AB-2985-03	MLLT10(+)MLL(+) fusion (In-frame)	unknown	unknown	unknown	unknown
RARA	NA	washu.edu	TCGA-AB-2991-03	PML(+)RARA(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
RARA	NA	washu.edu	TCGA-AB-2994-03	PML(+)RARA(+) fusion (In-frame)	unknown	unknown	unknown	unknown
RARA	NA	washu.edu	TCGA-AB-2998-03	PML(+)RARA(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
RARA	NA	washu.edu	TCGA-AB-2999-03	PML(-)RARA(-) fusion (In-frame)	unknown	unknown	unknown	unknown
RARA	NA	washu.edu	TCGA-AB-3001-03	PML(+)RARA(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
MLL	NA	washu.edu	TCGA-AB-3005-03	MLLT10(+)MLL(+) fusion (In-frame)	unknown	unknown	unknown	unknown
EXOC3L2	NA	washu.edu	TCGA-AB-3007-03	PLAUR(+)EXOC3L2(-) fusion (Unknown frame)	unknown	unknown	unknown	unknown
RARA	NA	washu.edu	TCGA-AB-3007-03	PML(+)RARA(+) fusion (Unknown frame)	unknown	unknown	unknown	unknown
RARA	NA	washu.edu	TCGA-AB-3012-03	PML(+)RARA(+) fusion (In-frame)	unknown	unknown	unknown	unknown
